Date,Open,High,Low,Close,Volume
2020-01-02,74.06,75.15,73.80,75.09,135480400
2020-01-03,74.29,75.14,74.13,74.36,146322800
2020-01-06,73.45,74.99,73.19,74.95,118387200
2020-01-07,74.96,75.22,74.37,74.60,108872000
2020-01-08,74.29,76.11,74.29,75.80,132079200
2020-01-09,76.81,77.61,76.42,77.41,170108400
2020-01-10,77.65,78.17,77.06,77.58,140644800
2020-01-13,77.91,79.27,77.79,79.24,121532000
2020-01-14,79.18,79.39,78.04,78.17,161954400
2020-01-15,77.96,78.88,77.07,77.84,121923600
2020-01-16,78.40,78.92,78.02,78.81,108829200
2020-01-17,79.07,79.68,78.75,79.68,137816400
2020-01-21,79.30,80.17,79.05,79.14,110843200
2020-01-22,79.64,80.23,79.20,79.42,101832400
2020-01-23,79.93,80.84,79.93,79.81,100990000
2020-01-24,80.43,81.17,79.57,79.58,146537600
2020-01-27,77.51,77.94,76.22,77.24,161940000
2020-01-28,78.15,79.60,78.05,79.42,162234000
2020-01-29,81.11,81.96,80.34,81.08,216229200
2020-01-30,80.14,81.19,79.68,80.97,126743200
2020-01-31,80.23,80.67,77.07,77.38,199588400
